dt1,open,high,low,close,volume
2022-11-10 17:00:00,1321.28,1323.82,1247.4,1259.12,123086.4508
2022-11-10 18:00:00,1259.12,1286.56,1250.32,1273.83,50143.8907
2022-11-10 19:00:00,1273.83,1297.0,1265.9,1292.31,35476.719
2022-11-10 20:00:00,1292.3,1340.0,1284.28,1334.57,53176.8903
2022-11-10 21:00:00,1334.57,1344.66,1315.3,1325.44,57067.3595
2022-11-10 22:00:00,1325.44,1329.87,1308.01,1324.14,25200.6187
2022-11-10 23:00:00,1324.14,1327.83,1286.59,1299.28,40463.5348
2022-11-11 00:00:00,1299.28,1305.88,1283.88,1296.72,34922.7221
2022-11-11 01:00:00,1296.7,1309.29,1256.0,1262.74,64261.583
2022-11-11 02:00:00,1262.74,1271.95,1242.35,1252.32,58412.4242
2022-11-11 03:00:00,1252.33,1254.8,1221.08,1239.11,67229.3264
2022-11-11 04:00:00,1239.12,1248.5,1227.0,1234.52,37235.2323
2022-11-11 05:00:00,1234.52,1275.42,1231.53,1265.78,62464.2762
2022-11-11 06:00:00,1265.78,1275.67,1249.5,1264.44,48715.5259
2022-11-11 07:00:00,1264.43,1289.26,1254.26,1278.33,53053.133
2022-11-11 08:00:00,1278.34,1294.35,1268.06,1281.52,38766.0802
2022-11-11 09:00:00,1281.52,1288.0,1272.03,1279.4,31035.2396
2022-11-11 10:00:00,1279.39,1283.82,1264.07,1277.79,31951.1073
2022-11-11 11:00:00,1277.79,1292.6,1269.16,1275.85,38002.7661
2022-11-11 12:00:00,1275.91,1293.0,1268.0,1290.9,32733.9082
2022-11-11 13:00:00,1290.9,1310.0,1279.64,1283.59,59656.8881
2022-11-11 14:00:00,1283.58,1299.0,1201.26,1261.99,222571.2417
2022-11-11 15:00:00,1261.99,1281.26,1241.41,1260.18,107352.5056
2022-11-11 16:00:00,1260.18,1264.0,1233.24,1250.21,66260.1302
2022-11-11 17:00:00,1250.21,1278.87,1246.88,1274.3,51561.1894
2022-11-11 18:00:00,1274.29,1287.0,1261.38,1264.42,40793.9403
2022-11-11 19:00:00,1264.28,1278.45,1248.0,1274.04,39944.327
2022-11-11 20:00:00,1274.18,1276.36,1237.0,1246.02,30587.7813
2022-11-11 21:00:00,1246.02,1276.43,1245.6,1269.74,30524.5478
2022-11-11 22:00:00,1269.74,1285.72,1267.3,1280.39,25649.1661
2022-11-11 23:00:00,1280.39,1295.0,1270.7,1289.28,34402.1078
2022-11-12 00:00:00,1289.35,1292.16,1268.97,1276.5,24525.4731
2022-11-12 01:00:00,1276.49,1280.12,1265.35,1273.41,19178.0511
2022-11-12 02:00:00,1273.4,1290.32,1270.0,1276.74,30526.2298
2022-11-12 03:00:00,1276.73,1279.26,1254.0,1259.34,37088.7906
2022-11-12 04:00:00,1259.34,1268.97,1251.14,1257.47,40061.0436
2022-11-12 05:00:00,1257.47,1258.57,1238.7,1247.49,45931.2271
2022-11-12 06:00:00,1247.49,1268.8,1243.46,1261.32,35409.5493
2022-11-12 07:00:00,1261.31,1277.57,1260.8,1266.39,38997.5738
2022-11-12 08:00:00,1266.39,1270.95,1250.0,1261.67,27072.4374
2022-11-12 09:00:00,1261.66,1268.3,1256.44,1262.23,19858.4011
2022-11-12 10:00:00,1262.22,1275.0,1257.0,1259.72,26204.3102
